,customer_id,age,gender,CityOfBirth,dateOfCustomer,depositAverage,ConsumerLoan,CarLoan,Mortgage,CreditCard,AddCreditCard,Overdraft,HGS,DepositAccount,CurrencyDepositAccount,BES,HouseInsurance,CarInsurance,LifeInsurance,HealthInsurance,ComplementaryHealthInsurance
0,1,61,M,Ardahan,1998-02-21,499914,98246,229258,3903402,Y,Y,N,Y,N,N,Y,Y,N,N,N,Y
1,2,31,F,Bitlis,1983-12-27,1622631,376417,888662,5770619,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y
2,3,67,F,Balıkesir,2016-10-11,1694522,398591,291476,7606962,N,Y,N,N,Y,N,Y,Y,Y,Y,N,N
3,4,35,M,Kocaeli,2016-03-29,938483,240174,861722,538552,N,N,N,Y,Y,N,Y,N,N,N,Y,N
4,5,26,M,Kırıkkale,2003-03-06,9807725,449245,941435,9790057,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y
5,6,42,F,Iğdır,2022-11-01,8877065,263626,580099,192619,Y,N,N,Y,N,N,Y,N,Y,N,Y,Y
6,7,73,F,Düzce,2001-10-30,3337174,160263,392077,2710343,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,Y
7,8,64,F,Artvin,2022-01-20,8937326,803035,131869,2154051,N,Y,N,N,Y,Y,N,N,N,N,N,Y
8,9,33,M,Artvin,1994-07-15,9870182,580828,241292,9872386,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N
9,10,31,M,Şırnak,2004-10-10,4076817,822733,495948,6829332,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N
10,11,64,F,Bitlis,1990-09-10,3191175,562336,470405,2351868,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y
11,12,28,F,Tunceli,2000-09-12,6728339,946279,61483,2762152,N,Y,N,N,N,N,N,N,Y,Y,N,Y
12,13,79,M,Bartın,2011-08-21,1022698,784309,328838,959074,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
13,14,55,M,Kilis,1983-07-11,9792396,592683,548177,5307805,N,Y,N,Y,N,N,Y,N,N,N,Y,Y
14,15,47,M,Aydın,2003-02-13,8487336,278082,138890,5855396,Y,Y,N,N,Y,N,N,Y,N,Y,Y,N
15,16,25,M,Karaman,1986-09-07,4727085,634210,220861,5752576,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y
16,17,58,F,Denizli,2011-11-15,9255661,739945,448462,9410455,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N
17,18,75,M,Manisa,1989-01-12,4186414,699330,107786,5933742,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N
18,19,28,M,Muğla,2017-07-03,7896868,233238,209267,7722606,N,N,Y,Y,Y,Y,N,N,N,Y,N,N
19,20,59,F,Aksaray,1994-03-29,463060,120944,919641,4382463,Y,N,Y,Y,N,N,N,N,Y,N,Y,N
20,21,20,F,Abroad,2002-05-10,9033725,720221,754377,3305700,N,N,Y,N,N,Y,N,N,N,N,N,N
21,22,53,M,Erzincan,1998-01-29,6361002,710219,784475,2919694,N,N,Y,N,N,Y,N,N,N,N,N,Y
22,23,50,F,Diyarbakır,2008-04-30,4761145,540490,696101,5623525,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N
23,24,44,M,Muş,2001-04-04,4093379,154739,687926,93026,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N
24,25,78,F,Karabük,2015-01-17,8468772,447470,870914,9191766,N,Y,N,N,N,Y,N,N,Y,N,N,Y
25,26,63,F,Hakkari,1991-09-07,5363836,936406,566390,1351868,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N
26,27,21,M,Rize,1996-09-30,9799226,992017,729308,327691,N,N,Y,N,N,N,N,Y,N,Y,N,N
27,28,49,M,Muş,1994-06-15,6783308,759359,173061,7841505,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N
28,29,38,M,Sivas,1994-01-20,6360682,291773,788539,7072684,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y
29,30,71,M,Kilis,1986-07-21,2117636,496564,701978,1919136,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N
30,31,43,M,Aydın,2005-06-17,4074336,106851,731059,5059717,Y,Y,N,N,N,Y,N,Y,N,N,Y,N
31,32,79,F,Düzce,2018-05-04,7713146,741666,160422,7306261,Y,N,N,N,N,N,N,Y,Y,N,N,Y
32,33,66,F,Batman,2006-03-30,6358385,352737,30094,8293086,N,Y,N,Y,N,N,N,N,N,Y,Y,Y
33,34,33,F,Tunceli,2003-11-15,4031966,724156,499219,8234615,N,Y,Y,N,Y,N,Y,N,N,N,N,N
34,35,65,F,Manisa,2010-03-23,4545223,321517,263615,3867786,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y
35,36,36,M,Kahramanmaraş,1987-09-19,237370,742411,560081,2123709,N,Y,Y,N,Y,N,Y,Y,N,N,N,N
36,37,39,M,Ankara,1990-11-09,8014965,119629,862050,1096280,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y
37,38,67,F,Sinop,2019-01-24,4988757,901950,617113,7194570,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
38,39,18,F,Sinop,2009-08-23,7883823,305407,34225,3883526,N,N,N,Y,Y,N,Y,N,Y,Y,Y,N
39,40,70,M,Aydın,1982-07-25,5160869,623948,785339,9549709,N,N,Y,N,N,N,N,N,N,Y,Y,N
40,41,65,F,Yalova,1990-10-07,1532210,240044,707053,9650239,Y,N,Y,Y,N,N,N,Y,N,N,Y,N
41,42,40,F,Konya,1993-10-21,1754894,899398,168637,5533187,N,N,N,N,Y,N,Y,N,N,N,Y,N
42,43,73,M,Bayburt,1999-11-12,909393,196694,543623,6069650,N,N,Y,Y,N,Y,N,N,N,Y,Y,Y
43,44,63,M,Kırklareli,2003-09-08,9265241,427809,97736,3769851,Y,N,Y,Y,N,N,N,N,N,N,Y,N
44,45,53,M,Muş,1988-03-12,8526867,782544,922040,2290229,Y,N,N,N,N,Y,N,N,N,Y,N,N
45,46,40,F,Karaman,2012-10-20,6328534,477463,978166,5398528,Y,Y,N,Y,N,Y,N,N,N,N,Y,N
46,47,79,M,Bursa,2001-08-06,9901584,348121,911946,1683838,N,Y,N,Y,Y,N,Y,Y,N,N,N,N
47,48,59,M,Konya,2016-08-25,8952696,398468,332043,8186400,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N
48,49,75,M,Amasya,1993-12-12,941524,307618,375876,6288789,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y
49,50,32,F,Düzce,1990-12-02,4283671,699233,9853,7805654,N,Y,Y,N,N,N,N,N,N,N,Y,N
